,,,,,,,Account,Type,,Date,,Num,,Name,,Memo,,Class,,Clr,,Split,,Debit,,Credit,,Balance
,,,,7400 · Storage,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,7400 Storage,Check,,01/29/2019,,,,RAPID SPACE,,,,,,,,1200 · Checking BOA 6959 MG,,303.14,,,,303.14
,,,,,,,7400 Storage,Check,,02/25/2019,,,,RAPID SPACE,,,,,,,,1200 · Checking BOA 6959 MG,,303.14,,,,606.28
,,,,,,,7400 Storage,Check,,03/25/2019,,,,RAPID SPACE,,,,,,,,1200 · Checking BOA 6959 MG,,303.14,,,,909.42
,,,,,,,7400 Storage,Check,,04/23/2019,,1296,,RAPID SPACE,,,,,,,,1200 · Checking BOA 6959 MG,,303.14,,,,"1,212.56"
,,,,,,,7400 Storage,Check,,05/16/2019,,,,RAPID SPACE,,05/15,,,,,,1010 · Chase 9063 -720,,207.28,,,,"1,419.84"
,,,,,,,7400 Storage,Check,,05/20/2019,,,,RAPID SPACE,,05/17,,,,,,1010 · Chase 9063 -720,,389.75,,,,"1,809.59"
,,,,,,,7400 Storage,Check,,06/17/2019,,,,RAPID SPACE,,06/14,,,,,,1010 · Chase 9063 -720,,389.75,,,,"2,199.34"
,,,,,,,7400 Storage,Check,,07/15/2019,,,,RAPID SPACE,,07/12,,,,,,1010 · Chase 9063 -720,,389.75,,,,"2,589.09"
,,,,,,,7400 Storage,Check,,08/12/2019,,,,RAPID SPACE,,08/09,,,,,,1010 · Chase 9063 -720,,389.75,,,,"2,978.84"
,,,,,,,7400 Storage,Check,,09/09/2019,,,,RAPID SPACE,,09/06,,,,,,1010 · Chase 9063 -720,,389.75,,,,"3,368.59"
,,,,,,,7400 Storage,Check,,11/05/2019,,,,RAPID SPACE,,11/04,,,,,,1010 · Chase 9063 -720,,389.75,,,,"3,758.34"
,,,,,,,7400 Storage,Check,,11/06/2019,,,,RAPID SPACE,,11/05,,,,,,1010 · Chase 9063 -720,,685.19,,,,"4,443.53"
,,,,,,,7400 Storage,Check,,11/20/2019,,,,RAPID SPACE,,11/19,,,,,,1010 · Chase 9063 -720,,97.44,,,,"4,540.97"
,,,,,,,7400 Storage,Check,,12/03/2019,,,,RAPID SPACE,,12/02,,,,,,1010 · Chase 9063 -720,,389.75,,,,"4,930.72"
,,,,,,,7400 Storage,Check,,12/18/2019,,,,RAPID SPACE,,11/19,,,,,,1010 · Chase 9063 -720,,97.44,,,,"5,028.16"
